Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,C:/Users/pech/Documents/R/win-library/3.6,1.4-5,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,LGPL (>= 2),NA,NA,NA,NA,no,3.6.0
acepack,C:/Users/pech/Documents/R/win-library/3.6,1.4.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
AER,C:/Users/pech/Documents/R/win-library/3.6,1.2-8,NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
agridat,C:/Users/pech/Documents/R/win-library/3.6,1.16,NA,NA,NA,NA,"AER, agricolae, betareg, broom, car, coin, corrgram, desplot,
dplyr, effects, equivalence, emmeans, FrF2, gam, gge, ggplot2,
gnm, gstat, HH, knitr, lattice, latticeExtra, lme4, lucid,
mapproj, maps, MASS, MCMCglmm, metafor, mgcv, NADA, nlme,
nullabor, ordinal, pbkrtest, pls, pscl, reshape2, rgdal,
qicharts, qtl, sp, SpATS, survival, vcd, testthat",NA,CC BY-SA 4.0,NA,NA,NA,NA,no,3.6.1
alr4,C:/Users/pech/Documents/R/win-library/3.6,1.0.6,NA,"R (>= 3.0), car, effects",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
anytime,C:/Users/pech/Documents/R/win-library/3.6,0.3.6,NA,R (>= 3.2.0),Rcpp (>= 0.12.9),"Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
ape,C:/Users/pech/Documents/R/win-library/3.6,5.3,NA,R (>= 3.2.0),"nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)",Rcpp,"gee, expm, igraph",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
AppliedPredictiveModeling,C:/Users/pech/Documents/R/win-library/3.6,1.1-7,NA,R (>= 2.10),"CORElearn, MASS, plyr, reshape2, lattice, ellipse",NA,caret (>= 6.0-22),NA,GPL-2,NA,NA,NA,NA,no,3.6.1
arm,C:/Users/pech/Documents/R/win-library/3.6,1.10-1,NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
ash,C:/Users/pech/Documents/R/win-library/3.6,1.0-15,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
askpass,C:/Users/pech/Documents/R/win-library/3.6,1.1,NA,NA,sys (>= 2.1),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
assertthat,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
attempt,C:/Users/pech/Documents/R/win-library/3.6,0.3.0,NA,NA,rlang,NA,"testthat, knitr, rmarkdown, curl",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
audio,C:/Users/pech/Documents/R/win-library/3.6,0.1-6,NA,R (>= 2.0.0),NA,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.0
autoMLviz,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,R (>= 3.5.0),"ggplot2, h2o, dplyr, stringr, glue, purrr, tibble, tidyr",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
available,C:/Users/pech/Documents/R/win-library/3.6,1.0.4,NA,R (>= 3.3.0),"cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, udapi, yesno",NA,"usethis, BiocInstaller, BiocManager, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
aweek,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,R (>= 3.0),NA,NA,"testthat, stats, roxygen2, knitr, covr, spelling",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
babynames,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,R (>= 2.10),tibble,NA,testthat (>= 2.0.0),NA,CC0,NA,NA,NA,NA,no,3.6.1
